Compound ID,SMILES
2905,O=C1CCC(N2C(=O)C3=CC=CC(NC(=O)CCCCC4=CN(CCC(=O)NC5=CC=C(C6=CC7=CC=C(O)C=C7OC6=O)C=C5)N=N4)=C3C2=O)C(=O)N1
2533,CCC1=CC2=C(C=C1N1CCN(CC(=O)NCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC1)C(C)(C)C1=C(C2=O)C2=CC=C(C#N)C=C2[NH]1
2535,CCC1=CC2=C(C=C1N1CCN(CC(=O)NCCCCCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC1)C(C)(C)C1=C(C2=O)C2=CC=C(C#N)C=C2[NH]1
2128,C[C@@H]1CC2=C([NH]C3=CC=CC=C23)[C@@H](C2=CN=C(N3CCC4(CC3)CC(CN3CC5(CCN(C6=CC=C7C(=O)N(C8CCC(=O)NC8=O)CC7=C6)CC5)C3)C4)N=C2)N1CC(C)(C)F
598,O=C(COC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)NCCCC(=O)N1CCC(NC(=O)C2=C(NC(=O)C3=C(Cl)C=CC=C3Cl)C=N[NH]2)CC1
2435,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCC(=O)NC3=CC=C(C(=O)NC4=CC(C5=CC=CS5)=CC=C4N)C=C3)C(C)(C)C)C=C2)SC=N1
2429,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCOCC(=O)NC3=CC=C(C(=O)NC4=CC=CC=C4N)C=C3)C(C)(C)C)C=C2)SC=N1
1589,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCCOCCCCOC3=CC=C(N4C(=S)N(C5=CC=C(C#N)C(Cl)=C5)C(=O)C4(C)C)C=C3)C(C)(C)C)C=C2)SC=N1
22,COC1=CC(C2=CN(C)C(=O)C3=CN=CC=C23)=CC(OC)=C1CN1CCN(CCCCCOC2=CC(C3=C(C)N=CS3)=CC=C2CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)CC1
1418,CC1=C(C(=O)NCCCCCCNC2=CC=C3C(=O)N(C4CCC(=O)NC4=O)C(=O)C3=C2)C(C)=C(/C=C2\C(=O)NC3=CC=C(F)C=C23)[NH]1
2417,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCN3C=C(COC4=CC5=NC=NC(NC6=CC=C(F)C(Cl)=C6)=C5C=C4NC(=O)/C=C/CN4CCCCC4)N=N3)C(C)(C)C)C=C2)SC=N1
1498,CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCCCCCNC(=O)CCCC(=O)NC3=CC=CC(SC4=NC=C(N5CCC(C)(N)CC5)N=C4N)=C3Cl)C(C)(C)C)C=C2)SC=N1
2621,C=CC(=O)N1CCC[C@H](N2C(NC3=CC=CC=C3)=NC3=CN=C(NC4=CC=C(N5CCN(CCCCCCCC(=O)N[C@H](C(=O)N6C[C@H](O)C[C@H]6C(=O)NCC6=CC=C(C7=C(C)N=CS7)C=C6)C(C)(C)C)CC5)C=C4)N=C32)C1
276,COC1=CC2=NC=NC(NC3=CC=C(F)C(Cl)=C3)=C2C=C1OCCCCCOCCOCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C
1157,CCCCN(CC1=CC=C(C(=O)NO)C=C1)C(=O)NC1=CC=C(OCCCCCN2C=C(CNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)N=N2)C=C1
1310,NC(=O)C1=CC=CC2=CN(C3=CC=C([C@@H]4CCCN(CCOCCOCCOCCOCCOCCOCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)C4)C=C3)N=C12
3215,CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCC(=O)N3CCN(CC4(C)CCC(C5=CC=C(Cl)C=C5)=C(CN5CCN(C6=CC=C(C(=O)NS(=O)(=O)C7=CC=C(N[C@H](CCN8CCOCC8)CSC8=CC=CC=C8)C(S(=O)(=O)C(F)(F)F)=C7)C=C6)CC5)C4)CC3)C(C)(C)C)C=C2)SC=N1
514,COC1=CC(N2CCN(C(=O)CCCCCCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC3=CC=C(C4=C(C)N=CS4)C=C3)C(C)(C)C)CC2)=CC=C1NC1=NC=C(Cl)C(NC2=CC=CC=C2P(C)(C)=O)=N1
1336,CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)N[C@H](C)[C@@H](O)C1=CC=CC=C1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)CCOCCOCCOCCOCCOCCNC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)C(C)C
